email_subject,email_open_user_count,sent_user_count,open_rate
#TrendingNow: Raglan Tees,246952,1114820,22.15
Summer tees to keep you cool,150623,680027,22.15
Must have essentials for every wardrobe,191196,863753,22.14
"Everyday style, sorted!",213995,967510,22.12
Ready for festive season,182882,827365,22.1
Shop The Ultimate: Tops & Dresses,52429,237898,22.04
Linen sarees work to play,138901,631066,22.01
Hi! Let's talk style: Tops at Flat 399!,40447,183833,22
#MeghanMarkleXPrinceHarry10 Days To The Royal Wedding,2738,12443,22
"{user_first_name}, Summer Tees by Gritstones",107476,489250,21.97
"{user_first_name}, Anarkali Kurtas to twirl in",162575,741224,21.93
Rethink your cami tops!,3848,17609,21.85
"{user_first_name}, Casual shirts you can wear to work",265863,1216754,21.85
It's all Black & white! Shop tees,11549,52890,21.84
Bestsellers at best prices,310965,1425543,21.81
B-town's lockdown essential? Books!,14262,65538,21.76
Gear up for the biggest surprise this month,750,3447,21.76
"Hi{user_first_name}, Casual shoes under 499! Shop Now",241649,1113478,21.7
Monday Blues? Find out what to do!,438,2021,21.67
To Fitness Days! Shop Active Wear!,52130,240531,21.67
Of Checks & Stripes! Shirts under 799,189721,882240,21.5
The best thing to do in 2019?,733,3418,21.45
Make a statement with tiered kurtas,126840,594268,21.34
Be summer-ready like Janhvi Kapoor,14245,66926,21.28
"Hi{user_first_name}, Summer’s favourite Kurtas handpicked for you",251984,1188200,21.21
Statement Sleeves Are All The Rage!,45867,216446,21.19
Trend Alert: Shop Micro Florals!,48246,227812,21.18
Of Checks & Stripes! Shirts under 999,11672,55140,21.17
Soha Ali Khan's floral kurta is worth a shot!,14503,68607,21.14
On-trend styles by Being Fab! Flat 549,136229,645155,21.12
It's okay to be a little obsessed with Sharing,464,2198,21.11
"Happy Birthday, Harry Potter!",232868,1105084,21.07
100+ Bestselling Kurtas 👗,86368,410112,21.06
500+ mandarin shirts for summer! Shop Now,221530,1052891,21.04
Back To Basics: Shop Kurtas,132373,630073,21.01
Mini skirts all the way! Shop skirts,44349,211091,21.01
Casual shirts in solid hues! Min 40% - 60% off,247796,1180107,21
"{user_first_name}, Handpicked Tees for summer",22795,108630,20.98
