email_subject,email_open_user_count,sent_user_count,open_rate
The 699 store is live!,308156,2424617,12.71
Never repeat an outfit: kurtas at flat 599,151733,1193906,12.71
HOW'S THE JOSH! ... HIGH SIR!,102797,809478,12.7
Tops Starting At 350!,31889,251058,12.7
The Summertime Sale is Live!,178636,1406818,12.7
Saturday Night feels | Steal everything under 499!,76309,600958,12.7
200+ Sneakers in bright hues!,122661,966654,12.69
6 दिन 6 शर्ट? One for each day!,121554,957534,12.69
Summer Calls For Florals! Woah,102498,808008,12.69
5 Hollywood Movies to Binge Watch!,182483,1437646,12.69
6 types of kurtas to own right now!,555031,4374670,12.69
Start Your Day With A Bit Of Shopping!,85385,673551,12.68
Best Sellers! Selling Away Fast!,93362,736049,12.68
Stylish Steals Starting 349,36421,287506,12.67
Because there's no time to stop!!!,8412,66392,12.67
Heart melting discounts only for you. Explore our top offers!,130289,1028519,12.67
Find Your INDIGO Love💙In These Fav Kurtas,84878,669897,12.67
Major floral love affair | free shipping,43108,340285,12.67
Just the nightwear you're looking for!,2614,20636,12.67
"Opt for simple, clean silhouettes.",66989,528863,12.67
Current Obsessions! Ruffles,74567,589015,12.66
Cozy Weather??,41272,325880,12.66
Hand-picked Jewel-toned block printed kurtas,140144,1107180,12.66
Get Ready In Style: Shop Blazers,127852,1009618,12.66
Kurtas that are oh so flattering!,364188,2877648,12.66
Add That Sprinkle Of Sexy With V-Necks,5001,39502,12.66
It's a perfect day to SHARE,388,3065,12.66
Denims & Distressed Denim Under 999!,89145,704029,12.66
Irresistible Winter Hued Kurtas!,188699,1490486,12.66
"Summer tees in blue, black & white",132890,1050442,12.65
Editor's Picked Layered Kurtas For You! 💖,88799,702214,12.65
Straight Kurtas Are So Hassel Free! 🤗,77485,613031,12.64
One outfit away for a full score! Hurry,133515,1056368,12.64
Everything stylish & traditional: Shop Rakhi special,131681,1042010,12.64
Top 5 A-line Kurtas To Stun In! 🔥,84629,669872,12.63
Wear Your Pride 🇮To Sacrifice & Progress!,46721,369958,12.63
The world wants to see your amazing STYLE!!,8624,68266,12.63
HAPPY HOUR - 8 PM to MIDNIGHT!,266410,2109464,12.63
Did you hear? 📣Buy 1 & Get 1 for Re.1!,285663,2262172,12.63
Valentine Special! Dress In Red,32158,254544,12.63
200+ trending sarees from Rajasthan,115120,911321,12.63
Create the Style you've always wanted to CREATE!!!,7628,60417,12.63
The New look! Persian Florals for Eid,170176,1348674,12.62
They Are In Demand!,90057,713553,12.62
Sacred Games! BACK AGAIN!!!!,7546,59817,12.62
Curve flattering flared kurtas! All under 1499,21512,170431,12.62
The classic Polo tees starting 499,8129,64413,12.62
Kangana's Manikarnika Saree Look In Trend,7856,62263,12.62
Hot off the runway: All your favourite brands,120058,951975,12.61
Min. 500 Off On Everything! Hurry!,106536,844842,12.61
What's for you this month?,1134,9000,12.6
#Limeroadexclusive by Kargha,129025,1024034,12.6
Best selling denims at best price!,70411,558959,12.6
Shared joy is a double joy!!!!,3079,24429,12.6
Men in Black - Steal their style!,212192,1683827,12.6
"Hey there TV buff, here's your chance to win",8535,67762,12.6
Outfits for your Girl Gang! Shop Classics,90207,716357,12.59
Sale Take Away! Shop Kurtas,106491,845558,12.59
Nothing To Wear? Check Out The Dresses & Jumpsuits,99102,787374,12.59
Don''t let the rains dampen your STYLE!!!!!,8452,67136,12.59
"Hello, comfy T-shirt dresses!",2619,20800,12.59
Leheriyas: The print from Rajasthan,83063,660302,12.58
Kurtas Sets Everyone Loves,115698,919662,12.58
Time to get some checks in your wardrobe!,66232,526368,12.58
Everyone is eyeing these 2018's bestseller,115788,920380,12.58
90% of girls are drooling over this!,38008,302084,12.58
"{user_first_name}, 200+ New & Trendy Kurtas Handpicked For You",206198,1638658,12.58
Life is all about SHARING,1746,13879,12.58
Unbox the love!,38059,302507,12.58
Sling bags you can carry everywhere! Flat 65% off | Free shipping!,109481,869934,12.58
"{user_first_name}, 499 Shoe Store handpicked for you!",298132,2369874,12.58
OPEN FOR SUNDAY DEALS 💥,73440,584066,12.57
Your account has been Credited! 200 shop credits on order of 1199!,600744,4780483,12.57
The newest new sarees handpicked For You!,18922,150637,12.56
Here's something no one ever told you before,887,7064,12.56
"Hi{user_first_name}, Exclusive kurtas Upto 65% off!",77009,613051,12.56
"Pretty Pleats, Please! ❣️Shop Collection",51167,407556,12.55
Do what you love!,7495,59741,12.55
Minimum Rs.500 OFF: 233 Handpicked Kurtas for you!,490147,3904986,12.55
📢📢📢The Best Seller Are Here,84454,672876,12.55
50 Handpicked Party Suits| All under 999!,192211,1531825,12.55
Time spent playing for children is never a waste,906,7225,12.54
Ikat Weave best seller Kurtas for you,94923,757002,12.54
So Much To Steal!,96008,765724,12.54
200+ Black Tees handpicked for you,58457,466036,12.54
Must have dupattas this festive season | Free shipping,149070,1188634,12.54
Tees in black & white starting 349,153460,1224071,12.54
Hand-selected bordered sarees for every occassion!,6841,54585,12.53
Maxi Dresses + Upto 80% Off + Sexy Styles,27155,216690,12.53
10 Type Of Shirts You Need To Know!,182515,1457160,12.53
Most Loved 9 To 5 Kurtas! Rule Your Work👩🏻‍💻,82572,658828,12.53
Summer Holiday fashion Edit,83163,664409,12.52
Click To Know Your Queen! ♟,34426,275033,12.52
Don't share your fries but share your style,325,2596,12.52
Handwoven Sarees are the Biggest Trend right now!,156325,1248561,12.52
Last Day of Republic Day Sale!,137401,1098144,12.51
As Fresh As A Lily 🌷 Shop Fresh Dresses!,155529,1242760,12.51
It's a Sneaker pop-up shop!,127052,1015436,12.51
Bollywood yummy mummies and their killer style 🔥,1959,15674,12.5
Stylish Dresses You'll Love!,73654,589288,12.5
Short days. Long sleeves! Under 499 | Free shipping!,269690,2157104,12.5
Party Night! Shop Collection,114758,918168,12.5
Day In A dress! Take Away,37637,301137,12.5
How do we show that we care?,318,2543,12.5
Editor's picks for your sister's wedding,117138,937161,12.5
Let's Talk Tops & Tees!,49919,399302,12.5
Get the one you like the most.,84004,672029,12.5
It's The Final Countdown!,104896,839129,12.5
Check Out For Checked Shirts!,505694,4049393,12.49
Be a Celebrity by just SHARING a look!!,1023,8191,12.49
Shop What's Hot,123391,987591,12.49
"Hi{users_first_name}, 3 Kurta trends to try right now!",172737,1383387,12.49
It’s Raining Discounts🌟,37260,298350,12.49
Winter Edit! Shop Collection,37181,297884,12.48
How good do you want to be today?,1214,9726,12.48
All the must-have denims under 999,156169,1251424,12.48
6 दिन 6 जूते? One for each day,423543,3394753,12.48
10 Shirts You Must Own! Shop now,90528,725654,12.48
Bare The Shoulders! Shop Brand New Styles,37418,299889,12.48
#Ranbir Kapoor as our Sanju Baba! Style his new look!,1600,12826,12.47
Best selling denims at best price,6193,49665,12.47
🕗Time left: 3 hours! Get Free shipping on all your orders!,1577761,12652385,12.47
12 Essential Shoes For Every Occasion! Get Started!,170918,1370886,12.47
"{user_first_name}, 1 check shirt, 3 ways to style it!",246031,1972852,12.47
Treasures from Rajasthan: Bandhani & Leheriya Sarees! Shop Now,203448,1633025,12.46
Buy1 And Get 1 Free!,108964,874662,12.46
Florals you absolutely cannot miss,157040,1259974,12.46
"Love, Share & Be Happy!!!!!",1591,12766,12.46
The subtle art of Layer on Layer | shop trend,6833,54857,12.46
Mark your entrance with these boho looks,6738,54134,12.45
Surprise Sale Has Started Now! ____%Discount,82530,662908,12.45
Leather strap watches you can wear all day | Free Shipping,6530,52448,12.45
Rock a Bandhgala like Saif Ali Khan,4307,34595,12.45
Full sleeves for the cold days!,233450,1874966,12.45
Y-E-L-L-O-W--- Colour of the day!,32906,264423,12.44
Standout in these kurtas even at workplace,175611,1411337,12.44
"""IT'S BIGGER & BETTER"" #WINTER SALE#",113862,915416,12.44
Sharing love is more than a gift,1652,13290,12.43
Beautiful minds inspire others!!!,1704,13709,12.43
Top Of The Lot With The Latest ✨,41731,335801,12.43
Colour pop Kurtas for Rain & shine,195309,1571088,12.43
Love for flares! shop kurtas,14925,120143,12.42
Call to Action! Shop Trends,24188,194783,12.42
End Of Season Sale is LIVE! Start shopping | Free Shipping,173846,1400209,12.42
Trending Now: #140 Sexy Dresses Starting 399 | Free Shipping,40711,327743,12.42
What do you do when you love?,554,4465,12.41
Open This Right Now!!!!,113733,916277,12.41
Newest Of The New! Starting at 350,32226,259675,12.41
Hi{user_first_name}! {no_of_users_viewed} users have their eye on your find!,29622,238874,12.4
Siddharth & Parineeti: The Zabardast Jodi of Bollywood!!!!,8534,68850,12.4
50+ Bomber jackets just for you!,180809,1458094,12.4
Exclusively Just For You! Denims By Levis!,6471,52206,12.4
Good News for all the TV BUFFs!!!!!,6720,54221,12.39
It’s Raining Discounts🌟 40-60% Off + Free shipping,53357,430738,12.39
Get casual with these shirts @ 599,256039,2065768,12.39
800+ Best Seller Kurtas Upto 70% Off 🌸,89447,722067,12.39
Kota Sarees! For a touch of elegance,129415,1045071,12.38
"Hi{user_first_name}, selected {color} {category} for you! Don't Miss",1612911,13028227,12.38
Because playing dress-up never truly ends!!,10307,83274,12.38
Everlasting Styles! Shop Kurtas,118711,959747,12.37
Summer Tees in your favourite colours,28160,227886,12.36
Gifts For 'Him' Valentine Special💞,28911,233870,12.36
6 types of tees you need right now!,154710,1252105,12.36
6 Hours Left!,9887,79970,12.36
Hot Weather Dress Checklist 🔥 Shop Dresses!,52219,422839,12.35
For The 💙 Of Denim! Shop 👕👗👖.,53713,434751,12.35
Vogue Trends Only For You! Go Girls,34846,282182,12.35
"Hi{user_first_name}, 200+ Kurtas for day and night!",353406,2861091,12.35
PRETTY PLEASE! 💝 Dresses Under 599!,48639,393825,12.35
Dress it up! Shop maxi dresses,33257,269527,12.34
Statement Jackets! Warm Up,35976,291638,12.34
Happy Sale: Min 200 off on everything #GetExcited | Free shipping!,208450,1688797,12.34
New & Trendy Under 499!,34180,276932,12.34
What to wear to the beach,127074,1029891,12.34
Lace tops & dresses you need to buy,36897,299096,12.34
Grab Your SMARTPHONE Now!!!!!,7901,64013,12.34
Find out what's on the other side of the door,8484,68791,12.33
Freshly brewed styles handpicked for you,98429,798357,12.33
Evening wear Suits we love! Shop the must haves,18930,153557,12.33
Hello... It's Us! Min. 500 Off On Dresses! Woop! Woop!,51326,416337,12.33
Dress Up Your day! Shop Dresses,70890,574810,12.33
Never repeat an outfit: shop chic kurtas,6712,54449,12.33
Buy 1 Get 1 Free- Whaaa!,428445,3476855,12.32
Sunday Hitlist: Statement Solids You Need NOW | Free Shipping,43660,354400,12.32
We're most alive when we SHARE,1666,13522,12.32
Denim Shirts You Can Wear Straight For A Week!,97031,787683,12.32
150+ Bestselling Under 399/- 😍,30273,245902,12.31
"This RAKHI, get LUCKY",8052,65470,12.3
Jingle Bells! Shop In Sale,36100,293468,12.3
Flat 299 Store! Style It Up!,105856,860543,12.3
Who is your favourite Beti of Indian TV?,8073,65612,12.3
The 399 Store Is Here!,547292,4448604,12.3
Beat The Monday Blues With Hand-picked Styles!,66170,538609,12.29
Season Styles To Covet! | Fall In Love,41632,338831,12.29
The best way to get over Holiday blues,108460,882581,12.29
🥁Go Home Or Go Street Style 🥁,94196,766187,12.29
Buy your Favourite Kurtas starting 799,17422,141793,12.29
6 types of kurtas to own right now + Free shipping,136442,1109927,12.29
"Hi {user_first_name}, Doll up your kids this season! 🎀",39629,322440,12.29
Floral Pink For Valentine!,30907,251618,12.28
"🕗Tick, tock! 3 HOURS LEFT to use your 200 shop-credits! Hurry!",258941,2108536,12.28
200+ bestselling styles of the season,108153,880863,12.28
"{user_first_name}, 6 types of must-have Footwear! Check'em out!",381314,3104617,12.28
Kasautii Zindagi Kay Special!!!!,7892,64309,12.27
"The product we reserved especially for you, is waiting to be picked!",29306,238911,12.27
#358 Cotton Kurtas at Lowest Prices Ever!,69460,566274,12.27
In Love With STRIPES For Summers!🌻,35278,287650,12.26
Our top brands have made more reductions,11220,91508,12.26
Your Cart Misses You! Shop Now!,112215,915111,12.26
Best Watch Combos under 499 + Free shipping,160867,1312505,12.26
For A Lovely Day! Pastel Love! Shop Tops,52771,430546,12.26
17 Getaway-Ready Weekender Duffle Bag!,105648,861807,12.26
Tops & Dresses you'll love! Upto 70% off | Free shipping!,36498,297803,12.26
4 Types Of Tops Every Girl Needs ✅,144516,1178521,12.26
Easy Palazzos For Spring! 🌼.,80078,653156,12.26
every celebrity is wearing this!,91033,742688,12.26
Multiply your happiness by SHARING,1559,12722,12.25
Go crack a clearance sale!,120161,980604,12.25
Rs.{credit_given} added in your account! It's free shipping too!,6431,52507,12.25
Sara Ali Khan in All Black!,32472,265127,12.25
Fresh & new kurtas for you #LimeFresh!,186609,1523252,12.25
You have the power to get lucky every hour!,7316,59711,12.25
Lovely Linen Sarees Just For You!,200391,1636986,12.24
Welcome To The Biggest Sale Ever!,107027,874364,12.24
The Perfect Tux For Your Perfect Night!,124913,1020141,12.24
50 Handpicked Anarkali Suits for you!,8560,69923,12.24
You Have Got A Minute To Win It!,94642,773277,12.24
Save upto 80% on top-selling kurtas,125705,1027889,12.23
We're so glad we found you,6134,50173,12.23
OPEN>CLICK>SURPRISE,269951,2207305,12.23
Best Deals! Flying Away Soon! Min.500 Off!,128561,1051015,12.23
Style the youngest spy of Bollywood!,1409,11517,12.23
"Father's Day Special: Get a gift of love for your hero, Your Dad!",1709,13979,12.23
Best selling kurtas at the best prices!,104774,856416,12.23
Good News: We're hiring again!,903,7392,12.22
Upgrade Your Style! Shop Collection,43167,353318,12.22
"Hi{user_first_name}, On Trend Kurtas: Buy 3 For 999 Only!",168997,1384082,12.21
Nama-Slay! Enjoy Min. 40% Off On The Best | Free shipping,42402,347287,12.21
The greatest power is the power to SHARE,343,2809,12.21
Top selling kurtas at best prices,80424,659231,12.2
The Flat 400 Store Is Here Only For Today!,103497,848564,12.2
Denim Shirts Are A Must Have!,254202,2083668,12.2
Love For Dresses?,35830,293775,12.2
Think in Black. Masterclass is back!,1851,15177,12.2
Dress like your favorite celeb this diwali,115310,944911,12.2
"Hi{user_first_name}, It’s the season of check shirts!",257586,2111584,12.2
Today's Special!,36977,303348,12.19
Today's Style Fix: Kurtas at min 50% OFF!,183271,1503696,12.19
Exhilerating prints just for you!,40917,335616,12.19
Getting Cold Dear?,32056,263067,12.19
Time For POP UP SALE! Crazy Deals🌸,36319,298199,12.18
Discounts Overloading! Upto 60% Off,147414,1210730,12.18
Everything you need at Flat 399!,301750,2477047,12.18
"The more you SHARE, the happier you are!!",1281,10513,12.18
Priyanka Chopra giving us the Chills!,86595,711148,12.18
Love only grows by SHARING,328,2693,12.18
Do small things with great love❤,1427,11720,12.18
Take time to make your soul Happy:),1465,12040,12.17
Under 999: Cotton kurtas to beat the heat!,6924,56909,12.17
"Hi{user_first_name}, 200+ bestselling tops for you | Free shipping!",163006,1339506,12.17
Style the Bhai of Bollywood & WIN big!,1716,14101,12.17
800+ New Tees handpicked for you #LimeFresh!,196721,1616806,12.17
"This Rakhi, win Upto Rs. 5000 Shopping Credits",8354,68643,12.17
We can't get enough of your amazing STYLE!!!!!,8592,70611,12.17
"Bigger The Size, Bigger The Discount !",86026,706805,12.17
Your kurtas wishlist just got a upgrade! ❤,292909,2408896,12.16
The chance to preview New Collection ..,50110,411981,12.16
Know the perfect shoe for every sport,97823,804696,12.16
Madness sale has been extended! Only for today!,538310,4426812,12.16
Work ready kurtas at flat 399!,173965,1430333,12.16
This Versace Perfume could be yours!!!,1879,15449,12.16
Sania Mirza spotted in a IKAT kurta!,5249,43208,12.15
Monsoon Favourites! Make A Solid Statement,36427,299837,12.15
Handpicked Kurtas for you! Flat 50% off!,4196,34530,12.15
All New & Trendy! Shop It Baby,37441,308175,12.15
Kurtas at Flat Rs.500!,95441,786081,12.14
Good looks aren't meant to be stored,307,2528,12.14
Editor's Picks! Block-Prints,134296,1106513,12.14
"Love what you do, do what you love",5513,45397,12.14
#2019 Takeaways👗,35672,294129,12.13
"Hi{user_first_name}, Your New 9 to 5 shirts!",246489,2032193,12.13
Exclusive Kurta Collection for Diwali!,17625,145259,12.13
10 shoes every guy should have for summer,145076,1195595,12.13
90% Of Girls are wearing these on V-Day!,26715,220317,12.13
How to start the week?,482,3973,12.13
Easy To Wear Henley Tees,193199,1592575,12.13
200+ Styles to wear all summer,109488,902554,12.13
You know you want these printed tees + Free shipping,231667,1909119,12.13
A-line kurtas for day and night!,115862,956205,12.12
5 Type Of Shorts You Need To Have!,90202,744425,12.12
The 499 Store: Fresh New t-shirts!,242639,2002198,12.12
"{user_first_name},1 white shirt, 3 ways to style it!",206595,1704603,12.12
Trendspotting: Asymmetric & Layered kurtas!,70940,585316,12.12
Your best friend's wedding?,113256,935115,12.11
Must-have denims starting 999,8463,69889,12.11
Valentine's Gifts for your darling | Handpicked with love!,238315,1968087,12.11
Deals=Best | Flat 50% Off,139845,1155119,12.11
T-Shirts By Bourgeois At Flat 499!,161351,1332199,12.11
Woohoo!!! It's FRIDAY!!!!!!!!!!!!!,8047,66460,12.11
Sexy In Red- The Valentine Special!,30422,251381,12.1
"Styles that'll make you say ""OMG""",117738,972646,12.1
Blue Suits Everyone! Shop Now,302297,2499018,12.1
Casual Shirts for every mood,10155,83930,12.1
All Types Of Shirts You Want!,133757,1105181,12.1
Ace your Date Look with Embroidered Kurtas,119277,986767,12.09
Shop Exclusive Brands on LimeRoad!,37707,311839,12.09
Party Ready! Shop Now,70358,581836,12.09
Red & White Special! Buy Now,37720,312007,12.09
Because you're worth more than GOLD,15664,129513,12.09
Under 799: Light & Breezy Kurtas!,47862,396068,12.08
"Hi{user_first_name}, It's the 699 store | Free shipping!",188210,1558024,12.08
Madness Is Ending!,153981,1274495,12.08
"{user_first_name}, 600+ Black Tees at BEST EVER PRICES!",341842,2831935,12.07
Upto 80% Off! Summer Essentials,80808,669241,12.07
6 दिन 6 कुर्ता? One for each day👗,174784,1448510,12.07
#Exclusive Collection only on Limeroad!,51873,429908,12.07
Hold on to GOLD this Durga Puja,248,2055,12.07
Summer Tees To Own Now!,40950,339232,12.07
"{user_first_name}, Perfectly matched Kurta sets for you | Free Shipping",319668,2649637,12.06
Something big is coming! Tune In📱29th Dec🕙,279683,2319599,12.06
Summer In Pretty Floral Maxi Dresses,26556,220286,12.06
A Royal Affair: Trending Rajasthani sarees!,97603,809617,12.06
Best selling kurtas at best prices,106474,882898,12.06
This is a big deal! Flat 60% off on kurtas,200656,1663832,12.06
Forgot your {lr_credits_available} credits? Expiring Soon!,1636,13560,12.06
Maxi Dresses 🤩 Starting 999,3992,33120,12.05
Summer Whites To Slay In! Take Away,34201,283713,12.05
These Bollywood Teachers are too hot to handle🔥,727,6035,12.05
Bestsellers At Min. 800 Off Only For You!,31701,262972,12.05
Kurtas we're crushing on! Upto 65% off | Free shipping!,8258,68529,12.05
"Be BLUE-tiful, this Masterclass",7700,63943,12.04
#457 Casual Summer shirts that you need to own!,255842,2126866,12.03
Because tomorrow will be too late,8131,67606,12.03
"Hi{user_first_name}, Looks sharp in Mandarin shirts",163540,1359572,12.03
Winter kurtas for real? Oh yes!,314628,2616549,12.02
You'll Make It! If You Hurry! Shop Bestsellers !,5736,47716,12.02
Only {inventory} pieces left. Your cart is selling out fast!,83494,695071,12.01
Bestsellers at best prices | FREE SHIPPING!,130954,1090026,12.01
Day In A Dress! Shop Collection,35453,295213,12.01
The only Cotton kurtas you need for summer🌻.,162375,1352222,12.01
Deepika Padukone's All Time Fav,7232,60221,12.01
Tees Under 499! SHOP NOW!,95851,798724,12
Party Night Done Right!,35188,293134,12
All's fair when you love & SHARE,326,2717,12
Your Dream OFFERS on Exclusives! 🎁,79384,661720,12
To own a red lipstick participate now,641,5346,11.99
"{user_first_name}, Bestseller Alert! Shop Tops",1442,12028,11.99
New Alert! Boat neck kurtas for that hot new date #LimeFresh!,98544,822500,11.98
Oh So Flattering Kurtas!,116226,970440,11.98
Low Stock Alert Top Trends Running Out,96340,804075,11.98
The Republic Of Style Sale Ends Today!,101598,848311,11.98
Slogan Tees: You & Your BFF Can Twin In!,39371,328775,11.98
Party Starts At 9:30 Onwards! Shop Offers!,107455,896827,11.98
What's Hot? | Shop Exclusives,31874,266069,11.98
300+ T-shirts on lowest prices ever!! BUY NOW.,216055,1803790,11.98
Santa Deals!! GRAB,32711,273209,11.97
Rayon kurtas are all you need this summer!,304132,2541252,11.97
Things You Can SHARE With Your BESTIE?,1180,9862,11.97
"{user_first_name}, Stylish New Tops At 899",5475,45751,11.97
The 599 Store: 2018's Hottest Kurtas!,236452,1975886,11.97
Wednesday is for Vogue! Shop now,70856,592543,11.96
3 for 999 on the prettiest Kurtas!,311104,2602169,11.96
Oh No! Limited stock on your favourite styles!,28341,236889,11.96
Plan A Trip To Goa With Your Boys!,93761,784113,11.96
Decode Anushka Sharma's Look,119595,999613,11.96
Alia Bhatt's guide for summer style | FREE SHIPPING!,50125,419106,11.96
"Don't get lucky twice, get lucky 9 times!!!!!",8255,69075,11.95
6 Types Of Kurtas! Perfect For This Rakhi,88407,739818,11.95
The Best On a Budget💰Shop Sale!,33763,282449,11.95
Kurtas that suit every bodytype,102391,856622,11.95
Suits to work 9-5 in style!,18121,151617,11.95
"Hi {user_first_name}, Raining Discounts! Extra 21% Off.",131635,1101952,11.95
Salman Khan Wore The Coolest Shirt Ever!,129930,1087918,11.94
"Dear Kurta, will you be mine? | Hottest styles for Valentine's!",225365,1889554,11.93
"{user_first_name}, It's the 1299 store | Free Shipping!",8702,72939,11.93
Casual Shirts! Min. 60% Off,145286,1218252,11.93
Valentine Craze 💖 Upto 70% Off,73085,612629,11.93
Hand Picked Styles!!,8504,71299,11.93
Treat Us On Tuesday!!!,1360,11396,11.93
6 types of must-have Dresses! Check'em out!,32805,274876,11.93
Serious Holiday Shopping! Go All Red!,120667,1012371,11.92
Shop Linen & Khadi! #CraftedinIndia.,240347,2015719,11.92
"Hi{user_first_name}, Your favourite brands under 999!",226867,1904024,11.92
Get Your Office Look On Point!,69554,583746,11.92
This is a big deal! kurtas under 1499,20267,170058,11.92
Share & double your happiness,1489,12495,11.92
Steal the everyday look from Sara Ali Khan,5340,44849,11.91
Denims in the shades of Black & Grey | Free Shipping!,236149,1983300,11.91
Valentines Special: Reds & Pinks,79770,669882,11.91
A Gift Hamper for all those who love watching TV,854,7171,11.91
Is your Holi outfit ready? 💦👗.,248770,2090967,11.9
Only for today 80% off on denims,96511,810799,11.9
Bags To Take You Places!,91478,768920,11.9
Kurtas wishlist! Get it upgraded,270415,2272187,11.9
Selling Out Real Fast🏃🏻‍♀️ Shop Workwear,30932,260034,11.9
"Do it big, do it right!",7903,66394,11.9
Stripe your way: Essential kurtas!,124919,1049818,11.9
Varun Dhawan's look is ideal for staying in,4015,33763,11.89
So. Many. Tees. Buy 2 for 799 | Free Shipping!,253508,2132225,11.89
The Solid Red! Shop Collection,36091,303567,11.89
Let the friendship continue,1497,12592,11.89
Hi{user_first_name}! What your zodiac says for March 2018 💕.,17683,148896,11.88
"Hi{user_first_name}, Everything New In This Week 🌿.",48993,412334,11.88
Leather jackets are a winter must-have.,7074,59569,11.88
Casual shirts to dress up in!,234534,1974867,11.88
100+ Kurtas You Must Have!,75684,637088,11.88
Flat 499! Most loved dresses for you!,34403,289894,11.87
30 Corset Kurtas to flaunt those curves!,177035,1491661,11.87
"No matter what happens, SHARE what you love",370,3117,11.87
Alia Bhatt's guide for summer style!,213692,1800284,11.87
Feel Pretty! Shop Now,35555,299417,11.87
Light & Breezy Kurtas under 999!,17725,149444,11.86
The Kapoor Sisters!,17348,146278,11.86
The Festive sale only for 12 hours! Hurry,228014,1922701,11.86
Time to get some checks in your wardrobe + Free Shipping,6540,55153,11.86
#ALIA'S PICKS! Only for few hours⏱,26615,224664,11.85
Steal your heart | Kurtas at flat 399!,232763,1963687,11.85
Travel Essentials To Carry For Your Next Trip!,92569,781336,11.85
Happy Sunday !,3635,30668,11.85
Are you a Bollywood Lover?,265,2236,11.85
NEW STOCK DAILY! Be the first one!,80309,677446,11.85
Buy 2 for 1099: Get them before they're gone,57292,483534,11.85
Get Polo neck tees at 80% Off,93427,788860,11.84
Hi{user_first_name}! You have {lr_credits_available} cashback credits waiting in your account! buy something you love!,2194,18535,11.84
Breaking: #10 Trends To Watch On The New York Fashion Week 🔥🔥🔥.,161282,1361979,11.84
"{user_first_name}, Casual shoes - Flat 489!",195134,1648051,11.84
Stun-Up! Shop Dresses,35100,296390,11.84
The BIG end of season sale is live!,165855,1400218,11.84
Best 3 Color To Wear This Season!,83397,704314,11.84
Hi{user_first_name}! Save Rs {product_discount} on the {product_category} you just viewed! Only today!,189055,1598732,11.83
150+ Trousers hand-picked by our editors!,29356,248055,11.83
How lucky are you today?,7954,67235,11.83
The perfect Gunday's & the best of friends are here!,1688,14265,11.83
It's Time For Summer Splash! Buy Now🌼,36952,312376,11.83
🎇Meet me after hours! ✨👙Shop Lingerie!,23080,195031,11.83
Block Printed Kurtas From Jaipur + Free Shipping,329130,2784299,11.82
Winter Wear At Min. 60% Off!,101851,861451,11.82
Gorgeous Sarees : Buy 2 for 1499!,6775,57323,11.82
"Hi{user_first_name}, All Good things 3 for 999",109416,925879,11.82
Get min. 1000 off on everything,99453,841677,11.82
"Hi{user_first_name}, 6 types of shirts every man needs!",242287,2049225,11.82
Your Daily Dose Of Fun Facts! ~The Colour Black ⬛ | Free shipping!,158648,1342407,11.82
"{user_first_name}, Free shipping will self destruct in 3 hours! Shop right now!",226381,1914472,11.82
How did you get so lucky today?,7970,67409,11.82
Get 2 Watches Under 499!,78072,660469,11.82
"Hi{user_first_name}, {print_and_pattern} {category} handpicked for you!",417252,3531802,11.81
Snowy Christmas! Shop Collection,34349,290820,11.81
Under 499: Summer-ready kurtas | FREE SHIPPING!,176014,1490300,11.81
Celeb-approved FLORAL sarees,6176,52298,11.81
Sneakers At Flat 499!,87256,738948,11.81
Is STYLING your passion?,7885,66743,11.81
"Ladies, treat yourself: kurtas under 499",151246,1280526,11.81
"{user_first_name}, Flash Sale: Ends midnight | Free shipping!",222875,1887132,11.81
Great satisfaction comes from SHARING,1599,13547,11.8
"Because no day says ""NO SHARING""",1669,14141,11.8
It's Wednesday again!!!!!,7676,65077,11.8
The Half Price sale ends soon! Start shopping,130760,1107673,11.8
Kurtas for that touch of ethnic! Upto 70% off | Free shipping!,5486,46489,11.8
Keep it cool & casual! Tees under 399!,228072,1932937,11.8
Our latest crush: shop Most loved kurtas,149646,1268228,11.8
Style the Actor & Rockstar of Bollywood: RANBIR KAPOOR!!!!,6884,58342,11.8
Clearance Sale: Upto 80% off on everything | Free Shipping!,218434,1852819,11.79
Shop your Heart Out!,17431,147873,11.79
Sexy Party Outfits for You! Get Yours💃🏼,37414,317583,11.78
Rs.2000 added in your account! Check'em out!,50807,431393,11.78
"Hi {user_first_name}, Skin Care Comes First! Here are the Picks",87676,744309,11.78
Getting Cold? Shop Now,5293,44917,11.78
No More Monday Blues🙅We Got Jumpsuits On Repeat | Free Shipping!,42198,358563,11.77
Best Of Summer Blooms!🌼 Your Day To Shine,2018,17148,11.77
Your Girlfriend Bought This For You!,4512,38336,11.77
"Hi {user_first_name}, get a Free Duffle Bag!",237186,2014612,11.77
Trends missing from your wardrobe!,118841,1009394,11.77
Be The 1 To Grab Them,62902,534966,11.76
Veere Di Wedding! Swara Style File!,43188,367118,11.76
3 for 999! Grab it all!,375569,3192529,11.76
Cardigans & Pullovers! Upto 80% Off,67447,573503,11.76
Kurtas & Sets for summer | Free Shipping,44749,380650,11.76
Get The Collest Style!,94371,802643,11.76
200+ Black Tees at Lowest Prices Ever!,428286,3645083,11.75
Solid Shirts for work & beyond!,4697,39972,11.75
Ethnic Knock! Be Wedding Season Ready,229527,1953267,11.75
Shoes To Get Fit!,180262,1534451,11.75
Summer Calls For Florals!,26606,226525,11.75
